ticker,period,operating_margin,price,var_price
AAL,2012-12-31,1,13.5,NA
AAL,2013-12-31,5,25.25,0.8703703703703705
AAL,2014-12-31,10,53.630001,1.1239604356435642
AAL,2015-12-31,15,42.349998,-0.21033009117415458
AAP,2012-12-29,11,NA,NA
AAP,2013-12-28,10,NA,NA
AAP,2015-01-03,9,NA,NA
AAP,2016-01-02,8,NA,NA
AAPL,2013-09-28,29,NA,NA
AAPL,2014-09-27,29,NA,NA
AAPL,2015-09-26,30,NA,NA
AAPL,2016-09-24,28,NA,NA
ABBV,2012-12-31,32,NA,NA
ABBV,2013-12-31,30,52.810001,NA
ABBV,2014-12-31,17,65.440002,0.23915926454915248
ABBV,2015-12-31,33,59.240002,-0.0947432733880419
ABC,2013-09-30,1,61.099998,NA
ABC,2014-09-30,1,77.300003,0.2651392067148677
ABC,2015-09-30,0,94.989998,0.22884856809125864
ABC,2016-09-30,1,80.779999,-0.14959468680060395
ABT,2012-12-31,7,31.4268731312,NA
ABT,2013-12-31,11,38.330002,0.21965687900227993
ABT,2014-12-31,13,45.02,0.17453685496807436
ABT,2015-12-31,14,44.91,-0.00244335850733024
ADBE,2013-11-29,10,56.779999,NA
ADBE,2014-11-28,10,73.68,0.2976400369432908
ADBE,2015-11-27,19,92.169998,0.2509500271444083
ADBE,2016-12-02,26,99.730003,0.08202240603281763
ADI,2013-11-02,29,NA,NA
ADI,2014-11-01,26,NA,NA
ADI,2015-10-31,24,NA,NA
ADI,2016-10-29,30,NA,NA
ADM,2012-12-31,2,27.389999,NA
ADM,2013-12-31,2,43.400002,0.5845200286425714
ADM,2014-12-31,3,52,0.19815662681305857
ADM,2015-12-31,3,36.68,-0.2946153846153846
ADS,2012-12-31,27,144.759995,NA
ADS,2013-12-31,25,262.929993,0.8163166764408911
ADS,2014-12-31,21,286.049988,0.08793213256579646
ADS,2015-12-31,20,276.570007,-0.033140994223708975
ADSK,2013-01-31,13,38.880001,NA
ADSK,2014-01-31,13,51.25,0.31815840231074066
ADSK,2015-01-31,5,NA,NA
ADSK,2016-01-31,0,NA,NA
